"monthyear","site","NEWsiteID","Region","malinc","propsuspected","TPR"
2015-01-01,"Central Site 001","C001","Central",28.7128229235315,0.098213680908702,0.118002094736777
2015-01-01,"Central Site 002","C002","Central",43.7126235647941,0.149521266993098,0.179647301166565
2015-01-01,"Central Site 003","C003","Central",29.9968504651058,0.102605762856967,0.123279107728813
2015-01-01,"Eastern Site 001","E001","Eastern",46.4911103587905,0.133902105281015,0.172286550434868
2015-01-01,"Eastern Site 002","E002","Eastern",45.1717991983164,0.130102270419148,0.167397452991634
2015-01-01,"Eastern Site 003","E003","Eastern",30.7993164472424,0.0887071373790531,0.114135970199386
2015-01-01,"Eastern Site 004","E004","Eastern",53.567162568278,0.154282308735321,0.198508953308477
2015-01-01,"Northern Site 001","N001","Northern",61.9940396046332,0.207541878250531,0.225561834866042
2015-01-01,"Northern Site 002","N002","Northern",71.8608924838613,0.240573847001663,0.261461825477812
2015-01-01,"Northern Site 003","N003","Northern",59.7228115793989,0.199938325823579,0.217298099125668
2015-01-01,"Western Site 001","W001","Western",35.5391224918408,0.134963797867719,0.129477472032602
2015-01-01,"Western Site 002","W002","Western",43.7554742422666,0.16616631383049,0.159411594751024
2015-01-01,"Western Site 003","W003","Western",48.6716012031044,0.184835856546039,0.177322213991179
2015-01-01,"Western Site 004","W004","Western",46.0351757367141,0.174823735570883,0.167717089253815
2015-01-01,"Kampala Site 001","K001","Kampala",19.5554528496672,0.0813437322327223,0.0807646146796564
2015-01-01,"Kampala Site 002","K002","Kampala",19.3809190273176,0.0806177335754729,0.0800437846881957
2015-02-01,"Central Site 001","C001","Central",32.6351973626682,0.134242617434702,0.136771549609869
2015-02-01,"Central Site 002","C002","Central",29.5429102983302,0.121522709392992,0.123812017331634
2015-02-01,"Central Site 003","C003","Central",32.3480787938923,0.133061575145966,0.135568258232867
2015-02-01,"Eastern Site 001","E001","Eastern",31.3720071079105,0.12747698290118,0.138293075898127
2015-02-01,"Eastern Site 002","E002","Eastern",57.8989671760949,0.235266606414925,0.255228370775419
2015-02-01,"Eastern Site 003","E003","Eastern",42.1354428134526,0.171213116986377,0.185740108082938
2015-02-01,"Eastern Site 004","E004","Eastern",34.407831218642,0.139812747614083,0.151675498409847
2015-02-01,"Northern Site 001","N001","Northern",118.046445299543,0.193494696862702,0.277384189440413
2015-02-01,"Northern Site 002","N002","Northern",98.9530208144176,0.16219789352868,0.232518678572982
2015-02-01,"Northern Site 003","N003","Northern",118.745525745473,0.194640587860306,0.279026880690928
2015-02-01,"Western Site 001","W001","Western",39.5977813443864,0.100363427229892,0.105647440323354
2015-02-01,"Western Site 002","W002","Western",67.3474528548703,0.170696967209668,0.179683956142242
2015-02-01,"Western Site 003","W003","Western",62.1163027204263,0.157438240634035,0.16572717364363
2015-02-01,"Western Site 004","W004","Western",63.6769449474908,0.161393800700031,0.169890989164403
2015-02-01,"Kampala Site 001","K001","Kampala",30.8841472483037,0.0856487210907962,0.111060010401363
